FGFR2	32	5-10
FGFR2	6	10-15
FGFR2	28	15-21
FGFR3	5795	missense
FGFR3	0	inframe_indel
FGFR3	0	frameshift
FGFR3	585	0-50
FGFR3	5210	50-500
FGFR3	0	500-1000
FGFR3	101	1-5
FGFR3	33	5-10
FGFR3	4	10-15
FGFR3	11	15-21
FGFR4	4668	missense
FGFR4	0	inframe_indel
FGFR4	0	frameshift
FGFR4	319	0-50
FGFR4	4349	50-500
FGFR4	0	500-1000
FGFR4	70	1-5
FGFR4	9	5-10
FGFR4	5	10-15
FGFR4	4	15-21
FH	515	missense
FH	0	inframe_indel
FH	0	frameshift
FH	0	0-50
FH	515	50-500
FH	0	500-1000
FH	4	1-5
FH	0	5-10
FH	0	10-15
FH	1	15-21
FLT3	3425	missense
FLT3	12795	inframe_indel
FLT3	0	frameshift
FLT3	2220	0-50
FLT3	14000	50-500
FLT3	0	500-1000
FLT3	271	1-5
FLT3	82	5-10
FLT3	12	10-15
FLT3	9	15-21
FOXA1	14397	missense
FOXA1	9457	inframe_indel
FOXA1	0	frameshift
FOXA1	2685	0-50
FOXA1	21169	50-500
FOXA1	0	500-1000
FOXA1	445	1-5
FOXA1	121	5-10
FOXA1	10	10-15
FOXA1	46	15-21
FOXO1	3876	missense
FOXO1	0	inframe_indel
FOXO1	0	frameshift
FOXO1	820	0-50
FOXO1	3056	50-500
FOXO1	0	500-1000
FOXO1	66	1-5
FOXO1	8	5-10
FOXO1	0	10-15
FOXO1	3	15-21
FUBP1	717	missense
FUBP1	0	inframe_indel
FUBP1	0	frameshift
FUBP1	4	0-50
FUBP1	713	50-500
FUBP1	0	500-1000
FUBP1	13	1-5
FUBP1	2	5-10
FUBP1	0	10-15
FUBP1	0	15-21
GATA2	512	missense
GATA2	0	inframe_indel
GATA2	0	frameshift
GATA2	34	0-50
GATA2	478	50-500
GATA2	0	500-1000
GATA2	14	1-5
GATA2	4	5-10
GATA2	0	10-15
GATA2	1	15-21
GATA3	860	missense
GATA3	0	inframe_indel
GATA3	0	frameshift
GATA3	45	0-50
GATA3	815	50-500
GATA3	0	500-1000
GATA3	31	1-5
GATA3	2	5-10
GATA3	0	10-15
GATA3	6	15-21
GLI1	281	missense
GLI1	0	inframe_indel
GLI1	0	frameshift
GLI1	1	0-50
GLI1	280	50-500
GLI1	0	500-1000
GLI1	4	1-5
GLI1	0	5-10
GLI1	1	10-15
GLI1	0	15-21
GNA11	1066	missense
GNA11	0	inframe_indel
GNA11	0	frameshift
GNA11	8	0-50
GNA11	1058	50-500
GNA11	0	500-1000
GNA11	32	1-5
GNA11	11	5-10
GNA11	0	10-15
GNA11	2	15-21
GNAQ	2696	missense
GNAQ	0	inframe_indel
GNAQ	0	frameshift
GNAQ	223	0-50
GNAQ	2473	50-500
GNAQ	0	500-1000
GNAQ	58	1-5
GNAQ	14	5-10
GNAQ	1	10-15
GNAQ	7	15-21
GNAS	1601	missense
GNAS	0	inframe_indel
GNAS	0	frameshift
GNAS	21	0-50
GNAS	1580	50-500
GNAS	0	500-1000
GNAS	51	1-5
GNAS	11	5-10
GNAS	0	10-15
GNAS	1	15-21
GTF2I	443	missense
GTF2I	0	inframe_indel
GTF2I	0	frameshift
GTF2I	0	0-50
GTF2I	443	50-500
GTF2I	0	500-1000
GTF2I	10	1-5
GTF2I	1	5-10
GTF2I	0	10-15
GTF2I	4	15-21
H3F3A	1896	missense
H3F3A	0	inframe_indel
H3F3A	0	frameshift
H3F3A	114	0-50
H3F3A	1782	50-500
H3F3A	0	500-1000
H3F3A	54	1-5
H3F3A	9	5-10
H3F3A	1	10-15
H3F3A	9	15-21
HGF	703	missense
HGF	0	inframe_indel
HGF	0	frameshift
HGF	215	0-50
HGF	488	50-500
HGF	12	1-5
HGF	1	5-10
HGF	1	10-15
HGF	0	15-21
HIST1H1C	296	missense
HIST1H1C	39	inframe_indel
HIST1H1C	0	frameshift
HIST1H1C	72	0-50
HIST1H1C	263	50-500
HIST1H1C	14	1-5
HIST1H1C	0	5-10
HIST1H1C	0	10-15
HIST1H1C	2	15-21
HIST1H3B	4129	missense
HIST1H3B	0	inframe_indel
HIST1H3B	0	frameshift
HIST1H3B	152	0-50
HIST1H3B	3977	50-500
HIST1H3B	75	1-5
HIST1H3B	10	5-10
HIST1H3B	8	10-15
HIST1H3B	11	15-21
HIST1H3C	602	missense
HIST1H3C	0	inframe_indel
HIST1H3C	0	frameshift
HIST1H3C	94	0-50
HIST1H3C	508	50-500
HIST1H3C	11	1-5
HIST1H3C	2	5-10
HIST1H3C	0	10-15
HIST1H3C	2	15-21
HIST1H3H	606	missense
HIST1H3H	0	inframe_indel
HIST1H3H	0	frameshift
HIST1H3H	94	0-50
HIST1H3H	512	50-500
HIST1H3H	12	1-5
HIST1H3H	2	5-10
HIST1H3H	0	10-15
HIST1H3H	2	15-21
HLA-B	717	missense
HLA-B	0	inframe_indel
HLA-B	0	frameshift
HLA-B	3	0-50
HLA-B	714	50-500
HLA-B	17	1-5
HLA-B	4	5-10
HLA-B	0	10-15
HLA-B	0	15-21
HNF1A	2422	missense
HNF1A	0	inframe_indel
HNF1A	0	frameshift
HNF1A	138	0-50
HNF1A	2284	50-500
HNF1A	38	1-5
HNF1A	8	5-10
HNF1A	5	10-15
HNF1A	1	15-21
IDH1	1545	missense
IDH1	0	inframe_indel
IDH1	0	frameshift
IDH1	21	0-50
IDH1	1524	50-500
IDH1	32	1-5
IDH1	2	5-10
IDH1	0	10-15
IDH1	0	15-21
IDH2	3079	missense
IDH2	0	inframe_indel
IDH2	0	frameshift
IDH2	269	0-50
IDH2	2810	50-500
IDH2	44	1-5
IDH2	10	5-10
IDH2	2	10-15
IDH2	5	15-21
IGF1R	1037	missense
IGF1R	0	inframe_indel
IGF1R	0	frameshift
IGF1R	15	0-50
IGF1R	1022	50-500
IGF1R	28	1-5
IGF1R	8	5-10
IGF1R	1	10-15
IGF1R	0	15-21
IKZF1	1361	missense
IKZF1	0	inframe_indel
IKZF1	0	frameshift
IKZF1	56	0-50
IKZF1	1305	50-500
